col_id,col_name,col_group,col_group_id,group_col_id,col_area,project_id,refs,max_thick,max_min_thick,min_min_thick,b_age,t_age,b_int_name,t_int_name,pbdb_collections,lith,environ,econ,t_units,t_sections
1742,Column B,Oriente Basin,63,2,160008,8,50,300,300,0,423,407.6,Pridoli,Pragian,0,sandstone siliciclastic sedimentary  ~ 1,marine  marine  ~ 0.5|fluvial indet. fluvial non-marine  ~ 0.5,,1,1
151,North Central Foothills and Subsurface,NAL,8,9,19714.7,1,1,600,600,0,424.1,381.775,Ludlow,Fingerlakesian,8,limestone carbonate sedimentary  ~ 0.8333|dolomite carbonate sedimentary  ~ 0.1667,marine  marine  ~ 1,,1,1
1423,Burgos Basin,Mexico,35,8,124513.7,1,9,0,0,0,454.2,349.975,Ordovician,Mississippian,0,phyllite metasedimentary metamorphic  ~ 0.5|schist metamorphic metamorphic  ~ 0.5,,,1,1
70,Northwest Shelf,SSMC,19,23,43061.9,1,1,420,420,0,443.8,426.3,Llandovery,Ludlow,0,shale siliciclastic sedimentary  ~ 0.0714|limestone carbonate sedimentary  ~ 0.4405|dolomite carbonate sedimentary  ~ 0.4881,inferred marine  marine  ~ 1,oil/gas indet. hydrocarbon energy  ~ 1,2,1
1585,Northern Peary Land,Sheet 3: Canadian Arctic,43,85,34303,1,11,3425,2765,2765,475.775,428.4,Arenigian,Wenlock,0,shale siliciclastic sedimentary  ~ 0.1945|sandstone siliciclastic sedimentary  ~ 0.6389|conglomerate siliciclastic sedimentary  ~ 0.0278|chert chemical sedimentary  ~ 0.1389,inferred marine  marine  ~ 1,,6,1
1583,Danmark Fiord,Sheet 3: Canadian Arctic,43,83,102337.2,1,11,1110,650,650,446.15,428.9,Richmondian,Wenlock,1,shale siliciclastic sedimentary  ~ 0.0357|siltstone siliciclastic sedimentary  ~ 0.0357|sandstone siliciclastic sedimentary  ~ 0.1786|boundstone carbonate sedimentary  ~ 0.0417|limestone carbonate sedimentary  ~ 0.5|dolomite carbonate sedimentary  ~ 0.2083,reef carbonate marine  ~ 0.25|inferred marine  marine  ~ 0.75,,4,1
1491,Western Muskwa Ranges,Sheet 3: Canadian Cordillera,40,73,23506.5,1,10,900,900,900,442.0666,396.875,Llandovery,Emsian,6,shale siliciclastic sedimentary  ~ 0.2273|siltstone siliciclastic sedimentary  ~ 0.2727|sandstone siliciclastic sedimentary  ~ 0.0774|breccia siliciclastic sedimentary  ~ 0.0357|dolomite carbonate sedimentary  ~ 0.3869,inferred marine  marine  ~ 1,,4,1
67,Central Basin Platform,SSMC,19,20,25463.8,1,1,130,80,80,443.8,419.2,Llandovery,Cayugan,0,shale siliciclastic sedimentary  ~ 0.4167|limestone carbonate sedimentary  ~ 0.0833|dolomite carbonate sedimentary  ~ 0.5,inferred marine  marine  ~ 1,oil indet. hydrocarbon energy  ~ 1,2,1
1651,Inuvik,"Sheet 1: Northwest, Yukon Territories",44,6,26726.3,1,12,200,200,200,428.9,420.15,Wenlock,Pridoli,0,limestone carbonate sedimentary  ~ 0.1667|dolomite carbonate sedimentary  ~ 0.8333,inferred marine  marine  ~ 1,,1,1
453,Nashville Dome Area - East Central Tennessee,MBA,6,28,9609.4,1,1,30,30,0,440.8,428.9,Aeronian,Wenlock,0,silt siliciclastic sedimentary  ~ 0.0733|shale siliciclastic sedimentary  ~ 0.0733|mixed carbonate-siliciclastic carbonate sedimentary  ~ 0.3333|carbonate carbonate sedimentary  ~ 0.3663|limestone carbonate sedimentary  ~ 0.1282|chert chemical sedimentary  ~ 0.0256,inferred marine  marine  ~ 1,,3,2
352,Great Smoky Mountains South of and Above Greenbriar Fault,PBR,15,4,8973.6,1,1,800,420,320,443.8,417.1,Alexandrian,Gedinnian,0,conglomerate siliciclastic sedimentary  ~ 0.0208|slate metasedimentary metamorphic  ~ 0.1518|phyllite metasedimentary metamorphic  ~ 0.2708|schist metamorphic metamorphic  ~ 0.3185|quartzite metasedimentary metamorphic  ~ 0.2381,inferred marine  marine  ~ 1,,3,1
1473,Old Crow Basin,Sheet 2: Canadian Cordillera,37,40,18481.7,1,10,0,0,0,479.625,412.9,Tremadocian,Lochkovian,0,shale siliciclastic sedimentary  ~ 0.625|sandstone siliciclastic sedimentary  ~ 0.125|limestone carbonate sedimentary  ~ 0.125|chert chemical sedimentary  ~ 0.125,inferred marine  marine  ~ 1,,1,1
399,Chena River to Shaw Creek Fault,NAL,8,29,20760.2,1,1,600,600,0,479.625,381.775,Tremadocian,Fingerlakesian,0,gneiss metamorphic metamorphic  ~ 0.0384|phyllite metasedimentary metamorphic  ~ 0.1429|schist metamorphic metamorphic  ~ 0.5494|quartzite metasedimentary metamorphic  ~ 0.1923|amphibolite metamorphic metamorphic  ~ 0.0384|marble metasedimentary metamorphic  ~ 0.0384,,placer gold mineral precious commodity  ~ 1,2,1
1279,Northern and Central Venezuelan Andes,Caribbean Mainland,29,66,55290.4,7,7,0,0,0,483.475,358.9,Tremadocian,Famennian,0,metamorphic metamorphic metamorphic  ~ 1,,,1,1
307,Eastern Pennsylvania,NAP,9,24,11731.4,1,1,1664,1325,244,443.8,416.4,Rhuddanian,Gedinnian,2,claystone siliciclastic sedimentary  ~ 0.0641|shale siliciclastic sedimentary  ~ 0.2525|siltstone siliciclastic sedimentary  ~ 0.0821|sandstone siliciclastic sedimentary  ~ 0.2663|conglomerate siliciclastic sedimentary  ~ 0.022|limestone carbonate sedimentary  ~ 0.2861|dolomite carbonate sedimentary  ~ 0.0269,marine  marine  ~ 0.0769|fluvial indet. fluvial non-marine  ~ 0.0769|inferred marine  marine  ~ 0.8462,,13,1
117,South Bank of James River,AC,1,23,3398.4,1,1,0,0,0,2500,323.2,Proterozoic,Chesterian,0,granite plutonic igneous  ~ 1,,,1,1
1724,Column A,Atacama Basin,57,1,44401.3,8,39,0,0,0,541,201.3,Paleozoic,Triassic,0,igneous igneous igneous  ~ 1,,,1,1
1613,Sweetgrass Arch,"Sheet 3: so. Prairie Prov., Hudson/St.Lawrence Platform",46,63,40590.3,1,12,10,10,10,440.8,438.5,Aeronian,Aeronian,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,1,1
