col_id,col_name,col_group,col_group_id,group_col_id,col_area,project_id,refs,max_thick,max_min_thick,min_min_thick,b_age,t_age,b_int_name,t_int_name,pbdb_collections,lith,environ,econ,t_units,t_sections
1627,Swan Hills,Sheet 2: Prairie Provinces and British Columbia,45,42,78234.5,1,12,1045,925,925,386.8667,358.9,Givetian,Famennian,4,shale siliciclastic sedimentary  ~ 0.3095|siltstone siliciclastic sedimentary  ~ 0.0833|sandstone siliciclastic sedimentary  ~ 0.1309|limestone carbonate sedimentary  ~ 0.3214|dolomite carbonate sedimentary  ~ 0.0952|anhydrite evaporite sedimentary  ~ 0.0595,inferred marine  marine  ~ 1,,14,2
623,Merigomish Antigonish,II,22,42,11609.7,1,2,701,548,152,419.2,382.7,Gedinnian,Givetian,6,shale siliciclastic sedimentary  ~ 0.2222|siltstone siliciclastic sedimentary  ~ 0.2222|sandstone siliciclastic sedimentary  ~ 0.2222|granite plutonic igneous  ~ 0.3333,non-marine  non-marine  ~ 0.5|inferred marine  marine  ~ 0.5,,3,2
620,Southeastern Cape Breton Island,II,22,45,14675.9,1,2,0,0,0,443.8,382.7,Rhuddanian,Givetian,0,sandstone siliciclastic sedimentary  ~ 0.1|arkose siliciclastic sedimentary  ~ 0.1|conglomerate siliciclastic sedimentary  ~ 0.1|granite plutonic igneous  ~ 0.5|volcanic volcanic igneous  ~ 0.1|quartzite metasedimentary metamorphic  ~ 0.1,inferred marine  marine  ~ 1,,2,2
22,Northern Part Chautauqua Platform,TOT,20,1,26763.1,1,1,33,33,0,382.7,357.05,Fingerlakesian,Kinderhookian,0,shale siliciclastic sedimentary  ~ 1,marine  marine  ~ 1,oil/gas source hydrocarbon energy  ~ 1,1,1
558,Carmel Valley,CCA,2,12,3346.9,1,1,550,550,0,396.875,252.17,Emsian,Tatarian,0,gneiss metamorphic metamorphic  ~ 0.3333|schist metamorphic metamorphic  ~ 0.3333|marble metasedimentary metamorphic  ~ 0.3333,,,1,1
1693,Column I,Parana Basin,48,9,188688.5,8,29,320,320,0,417.1,410.8,Lochkovian,Lochkovian,0,mudstone siliciclastic sedimentary  ~ 0.125|shale siliciclastic sedimentary  ~ 0.125|conglomerate siliciclastic sedimentary  ~ 0.125|quartz arenite siliciclastic sedimentary  ~ 0.625,coastal indet. siliciclastic marine  ~ 0.5|fluvial indet. fluvial non-marine  ~ 0.5,,1,1
1626,"Front Range, Narraway River",Sheet 2: Prairie Provinces and British Columbia,45,41,23726.6,1,12,1010,1010,1010,383.95,358.9,Givetian,Famennian,5,shale siliciclastic sedimentary  ~ 0.3333|sandstone siliciclastic sedimentary  ~ 0.0238|limestone carbonate sedimentary  ~ 0.6428,inferred marine  marine  ~ 1,,7,3
1493,Cariboo Lake,Sheet 3: Canadian Cordillera,40,78,12015.4,1,10,1000,1000,1000,495.725,358.9,Franconian,Famennian,0,conglomerate siliciclastic sedimentary  ~ 0.5|granite plutonic igneous  ~ 0.2273|granodiorite plutonic igneous  ~ 0.2273|diorite plutonic igneous  ~ 0.0454,inferred marine  marine  ~ 1,,2,1
324,"Boulder Mountains Wood River and Central Pioneer Mountains, Central Idaho",NRW,13,1,26878.7,1,1,2450,2450,0,427.4,358.9,Ludlow,Conewangan,1,sand siliciclastic sedimentary  ~ 0.025|shale siliciclastic sedimentary  ~ 0.1429|sandstone siliciclastic sedimentary  ~ 0.15|conglomerate siliciclastic sedimentary  ~ 0.075|breccia siliciclastic sedimentary  ~ 0.025|limestone carbonate sedimentary  ~ 0.0619|dolomite carbonate sedimentary  ~ 0.325|quartzite metasedimentary metamorphic  ~ 0.0286|argillite siliciclastic sedimentary  ~ 0.1667,marine  marine  ~ 0.8|inferred marine  marine  ~ 0.2,silver mineral precious commodity  ~ 0.5|gold mineral precious commodity  ~ 0.5,5,5
368,Eastern Maryland Piedmont,PBR,15,20,4241.3,1,1,0,0,0,431.9,343.5,Wenlock,Osagean,0,granodiorite plutonic igneous  ~ 0.5|igneous igneous igneous  ~ 0.5,,,2,2
1481,Broken Skull River,Sheet 2: Canadian Cordillera,37,59,10272.9,1,10,2570,2570,2570,422.05,386.45,Pridoli,Givetian,42,shale siliciclastic sedimentary  ~ 0.125|limestone carbonate sedimentary  ~ 0.5|dolomite carbonate sedimentary  ~ 0.375,inferred marine  marine  ~ 1,,8,1
350,Northern Georgia Piedmont,PBR,15,2,5020.5,1,1,500,500,0,422.05,349.5,Pridoli,Osagean,0,granite plutonic igneous  ~ 0.25|gneiss metamorphic metamorphic  ~ 0.25|quartzite metasedimentary metamorphic  ~ 0.5,,,2,2
1658,Eastern Wernecke Mountains,"Sheet 1: Northwest, Yukon Territories",44,13,19559.7,1,12,1110,1110,1110,412.9,383.95,Gedinnian,Givetian,0,shale siliciclastic sedimentary  ~ 0.2778|limestone carbonate sedimentary  ~ 0.6667|dolomite carbonate sedimentary  ~ 0.0556,inferred marine  marine  ~ 1,,3,1
305,North-central Pennsylvania,NAP,9,22,20501.9,1,1,4436,4276,1163,420.15,349.5,Pridoli,Osagean,118,shale siliciclastic sedimentary  ~ 0.3726|siltstone siliciclastic sedimentary  ~ 0.103|sandstone siliciclastic sedimentary  ~ 0.1341|limestone carbonate sedimentary  ~ 0.2671|chert chemical sedimentary  ~ 0.0797|ash volcanic igneous  ~ 0.0435,inferred marine  marine  ~ 1,,23,1
1467,Fort St. James,Sheet 2: Canadian Cordillera,37,34,29414.6,1,10,100,100,100,404.025,362.225,Emsian,Famennian,0,shale siliciclastic sedimentary  ~ 0.5|limestone carbonate sedimentary  ~ 0.25|dolomite carbonate sedimentary  ~ 0.25,inferred marine  marine  ~ 1,,2,2
628,Northern Cobequid MTNS.,II,22,40,11672.1,1,2,0,0,0,438.5,382.7,Telychian,Givetian,0,siltstone siliciclastic sedimentary  ~ 0.1958|sandstone siliciclastic sedimentary  ~ 0.1958|granite plutonic igneous  ~ 0.125|diorite plutonic igneous  ~ 0.125|volcanic volcanic igneous  ~ 0.2584|slate metasedimentary metamorphic  ~ 0.05|argillite siliciclastic sedimentary  ~ 0.05,non-marine  non-marine  ~ 0.6667|inferred marine  marine  ~ 0.3333,,4,2
332,"Butte - Bozeman and South, Southwestern Montana",NRW,13,9,29450.9,1,1,460,285,135,410,358.9,Siegenian,Conewangan,146,shale siliciclastic sedimentary  ~ 0.1797|siltstone siliciclastic sedimentary  ~ 0.1429|breccia siliciclastic sedimentary  ~ 0.0649|carbonate carbonate sedimentary  ~ 0.1429|limestone carbonate sedimentary  ~ 0.2316|dolomite carbonate sedimentary  ~ 0.2381,paralic indet. siliciclastic marine  ~ 0.1429|marine  marine  ~ 0.2857|inferred marine  marine  ~ 0.5714,,7,3
1456,Stikine River,Sheet 1: Canadian Cordillera,36,23,24513.3,1,10,0,0,0,410.8,408.4,Siegenian,Siegenian,0,limestone carbonate sedimentary  ~ 0.1667|phyllite metasedimentary metamorphic  ~ 0.8333,inferred marine  marine  ~ 1,,1,1
809,"Rockingham & Augusta Counties, Virginia - East of North Mtn Fault",NAP,9,6.01,4063.5,1,1,661,295,246,420.15,383.95,Pridoli,Givetian,0,shale siliciclastic sedimentary  ~ 0.3878|siltstone siliciclastic sedimentary  ~ 0.0408|sandstone siliciclastic sedimentary  ~ 0.1429|limestone carbonate sedimentary  ~ 0.2857|ash volcanic igneous  ~ 0.1429,inferred marine  marine  ~ 1,,7,2
494,San Juan Mountain Uplift,CSR,3,24,34944.9,1,1,81,81,0,382.7,358.9,Fingerlakesian,Conewangan,0,shale siliciclastic sedimentary  ~ 0.0714|limestone carbonate sedimentary  ~ 0.7738|dolomite carbonate sedimentary  ~ 0.0833|quartzite metasedimentary metamorphic  ~ 0.0714,marine  marine  ~ 0.5|inferred marine  marine  ~ 0.5,,2,1
74,Western Oklahoma,SSMC,19,27,41754.7,1,1,150,150,0,381.775,358.9,Fingerlakesian,Famennian,0,shale siliciclastic sedimentary  ~ 0.6666|sandstone siliciclastic sedimentary  ~ 0.0833|limestone carbonate sedimentary  ~ 0.1666|chert chemical sedimentary  ~ 0.0833,inferred marine  marine  ~ 1,,1,1
54,Franklin Mountain Cristo Rey Area,SSMC,19,8,12371.3,1,1,104,104,0,387.7,363.475,Givetian,Conewangan,0,limestone carbonate sedimentary  ~ 0.5|chert chemical sedimentary  ~ 0.5,inferred marine  marine  ~ 1,,2,1
411,"Southern Wrangell Mountains, Mccarthy Quadrangle",SAL,16,19,14900.9,1,1,2000,2000,0,420.15,377.3,Pridoli,Chemungian,0,phyllite metasedimentary metamorphic  ~ 0.125|schist metamorphic metamorphic  ~ 0.125|amphibolite metamorphic metamorphic  ~ 0.125|marble metasedimentary metamorphic  ~ 0.625,,,1,1
1502,"Banks Island, central",Sheet 1: Canadian Arctic,41,2,25553.6,1,11,9034,9034,9034,413.6,368.875,Gedinnian,Famennian,0,silt siliciclastic sedimentary  ~ 0.0649|shale siliciclastic sedimentary  ~ 0.3268|siltstone siliciclastic sedimentary  ~ 0.1395|sandstone siliciclastic sedimentary  ~ 0.1626|conglomerate siliciclastic sedimentary  ~ 0.0204|limestone carbonate sedimentary  ~ 0.1429|dolomite carbonate sedimentary  ~ 0.1429,non-marine  non-marine  ~ 0.1429|inferred marine  marine  ~ 0.8571,,7,2
80,"Webster County, Iowa",MC,7,3,21687.7,1,1,191,164,164,383.95,358.9,Givetian,Conewangan,5,shale siliciclastic sedimentary  ~ 0.381|limestone carbonate sedimentary  ~ 0.0476|dolomite carbonate sedimentary  ~ 0.5714,marine  marine  ~ 1,,3,1
